"","Year","Month","Day","variable","value"
"83",2007,3,8,"All",26202.2
"84",2007,3,9,"All",21210.2
"85",2007,3,10,"All",41411.8666666667
"86",2007,3,11,"All",58010.6
"87",2007,3,12,"All",32511.1333333333
"88",2007,3,13,"All",21502.4
"89",2007,3,14,"All",29889.4
"90",2007,3,15,"All",31413.5666666667
"91",2007,3,16,"All",28367.5666666667
"92",2007,3,17,"All",33801.5
"93",2007,3,18,"All",39517.4333333333
"94",2007,3,19,"All",35875.3
"95",2007,3,20,"All",34770.4666666667
"96",2007,3,21,"All",35701.5333333333
"97",2007,3,22,"All",24249.6333333333
"98",2007,3,23,"All",21816.8
"99",2007,3,24,"All",49473.8333333333
"100",2007,3,25,"All",55608.4333333333
"101",2007,3,26,"All",23601.3666666667
"102",2007,3,27,"All",18419
"103",2007,3,28,"All",38898.3
"104",2007,3,29,"All",26506.7666666667
"105",2007,3,30,"All",23373.2333333333
"106",2007,3,31,"All",58491.8333333333
"107",2007,4,1,"All",46432.5333333333
"108",2007,4,2,"All",32679.6333333333
"109",2007,4,3,"All",27380.3333333333
"110",2007,4,4,"All",34197.8
"111",2007,4,5,"All",30734.6333333333
"112",2007,4,6,"All",26685.6666666667
"113",2007,4,7,"All",25898.7333333333
"114",2007,4,8,"All",26813.6
"115",2007,4,9,"All",16682
"116",2007,4,10,"All",12956.0666666667
"117",2007,4,11,"All",14791.3666666667
"118",2007,4,12,"All",8961.76666666667
"119",2007,4,13,"All",9183.7
"120",2007,4,14,"All",9237.8
"121",2007,4,15,"All",12102.7333333333
"122",2007,4,16,"All",15873.1666666667
"123",2007,4,17,"All",20395.5666666667
"124",2007,4,18,"All",16637.4333333333
"125",2007,4,19,"All",17144.3
"126",2007,4,20,"All",13709.6666666667
"127",2007,4,21,"All",27894.2666666667
"128",2007,4,22,"All",37228.5666666667
"129",2007,4,23,"All",17576.1
"130",2007,4,24,"All",17201.6666666667
"131",2007,4,25,"All",21069.3666666667
"132",2007,4,26,"All",21257.7666666667
"133",2007,4,27,"All",18238.8666666667
"134",2007,4,28,"All",378.966666666667
"135",2007,4,29,"All",0
"136",2007,4,30,"All",7013.7
"137",2007,5,1,"All",27730.9666666667
"138",2007,5,2,"All",16724.7666666667
"139",2007,5,3,"All",18170.6333333333
"140",2007,5,4,"All",16635.4666666667
"141",2007,5,5,"All",26050.8666666667
"142",2007,5,6,"All",35035.0666666667
"143",2007,5,7,"All",27394.4
"144",2007,5,8,"All",29821.5333333333
"145",2007,5,9,"All",27762.2666666667
"146",2007,5,10,"All",11798.0666666667
"147",2007,5,11,"All",16319.2333333333
"148",2007,5,12,"All",24026.1
"149",2007,5,13,"All",27245.6333333333
"150",2007,5,14,"All",24463.0333333333
"151",2007,5,15,"All",15073.2
"152",2007,5,16,"All",28215.7333333333
"153",2007,5,17,"All",20530.2666666667
"154",2007,5,18,"All",27192.1666666667
"155",2007,5,19,"All",23824.0333333333
"156",2007,5,20,"All",32805.4666666667
"157",2007,5,21,"All",18667.7
"158",2007,5,22,"All",18880.8666666667
"159",2007,5,23,"All",24415.6
"160",2007,5,24,"All",19239.8
"161",2007,5,25,"All",26903.6666666667
"162",2007,5,26,"All",25204.1333333333
"163",2007,5,27,"All",35896.8
"164",2007,5,28,"All",27291.1333333333
"165",2007,5,29,"All",17689
"166",2007,5,30,"All",26831.1
"167",2007,5,31,"All",15642.5
"168",2007,6,1,"All",17422.9
"169",2007,6,2,"All",24739.3666666667
"170",2007,6,3,"All",35133.7666666667
"171",2007,6,4,"All",15193.6333333333
"172",2007,6,5,"All",24314.8666666667
"173",2007,6,6,"All",28259.5333333333
"174",2007,6,7,"All",16416.7
"175",2007,6,8,"All",35800.7666666667
"176",2007,6,9,"All",18217
"177",2007,6,10,"All",22346.8666666667
"178",2007,6,11,"All",13244.2333333333
"179",2007,6,12,"All",15312.7666666667
"180",2007,6,13,"All",15454.5333333333
"181",2007,6,14,"All",20984.7333333333
"182",2007,6,15,"All",16493.4
"183",2007,6,16,"All",33629.3666666667
"184",2007,6,17,"All",32451.5
"185",2007,6,18,"All",11307.9
"186",2007,6,19,"All",14086.6666666667
"187",2007,6,20,"All",17904.7666666667
"188",2007,6,21,"All",13449.1
"189",2007,6,22,"All",9438.23333333333
"190",2007,6,23,"All",7959.43333333333
"191",2007,6,24,"All",11910.9333333333
"192",2007,6,25,"All",17870.0333333333
"193",2007,6,26,"All",15748.4666666667
"194",2007,6,27,"All",24680.4333333333
"195",2007,6,28,"All",21590.6333333333
"196",2007,6,29,"All",21740.7
"197",2007,6,30,"All",22255.2333333333
"198",2007,7,1,"All",17111.0666666667
"199",2007,7,2,"All",16117.2
"200",2007,7,3,"All",17665.2
"201",2007,7,4,"All",16723.5
"202",2007,7,5,"All",17621.5
"203",2007,7,6,"All",17825.4
"204",2007,7,7,"All",22636.7666666667
"205",2007,7,8,"All",18151.3333333333
"206",2007,7,9,"All",19669.3
"207",2007,7,10,"All",15138.7333333333
"208",2007,7,11,"All",12039.2
"209",2007,7,12,"All",17826.3666666667
"210",2007,7,13,"All",13239.7
"211",2007,7,14,"All",21469.5
"212",2007,7,15,"All",17286.3333333333
"213",2007,7,16,"All",14227.9
"214",2007,7,17,"All",11993.8666666667
"215",2007,7,18,"All",12618.0333333333
"216",2007,7,19,"All",11298.1
"217",2007,7,20,"All",18507.0333333333
"218",2007,7,21,"All",17670.8
"219",2007,7,22,"All",22954.3333333333
"220",2007,7,23,"All",16516.9666666667
"221",2007,7,24,"All",13754.7333333333
"222",2007,7,25,"All",7876
"223",2007,7,26,"All",15408.3333333333
"224",2007,7,27,"All",20041.9
"225",2007,7,28,"All",27031.0333333333
"226",2007,7,29,"All",5351.93333333333
"227",2007,7,30,"All",7780.26666666667
"228",2007,7,31,"All",13538.8666666667
"229",2007,8,1,"All",17741.6
"230",2007,8,2,"All",16990.2666666667
"231",2007,8,3,"All",17722.7333333333
"232",2007,8,4,"All",19083.1666666667
"233",2007,8,5,"All",13118.3
"234",2007,8,6,"All",18162
"235",2007,8,7,"All",24726.3333333333
"236",2007,8,8,"All",18758.0333333333
"237",2007,8,9,"All",17861.3333333333
"238",2007,8,10,"All",17133.5
"239",2007,8,11,"All",18194.1666666667
"240",2007,8,12,"All",20698.4
"241",2007,8,13,"All",19216.8666666667
"242",2007,8,14,"All",15686.5
"243",2007,8,15,"All",19864.3333333333
"244",2007,8,16,"All",15974.9333333333
"245",2007,8,17,"All",16831.5333333333
"246",2007,8,18,"All",5799.33333333333
"247",2007,8,19,"All",23704.9
"248",2007,8,20,"All",22314.0333333333
"249",2007,8,21,"All",10709.2666666667
"250",2007,8,22,"All",20163.4666666667
"251",2007,8,23,"All",18538.5333333333
"252",2007,8,24,"All",27608.4
"253",2007,8,25,"All",19181.3333333333
"254",2007,8,26,"All",21915.1
"255",2007,8,27,"All",20195.5
"256",2007,8,28,"All",16616.7333333333
"257",2007,8,29,"All",12466.5333333333
"258",2007,8,30,"All",20040.9666666667
"259",2007,8,31,"All",21330.3666666667
"260",2007,9,1,"All",28358.1
"261",2007,9,2,"All",27707.8
"262",2007,9,3,"All",17315.3666666667
"263",2007,9,4,"All",26415.7333333333
"264",2007,9,5,"All",20609.5333333333
"265",2007,9,6,"All",15024.5666666667
"266",2007,9,7,"All",22274.9333333333
"267",2007,9,8,"All",24495.8666666667
"268",2007,9,9,"All",27991.7
"269",2007,9,10,"All",18622.9333333333
"270",2007,9,11,"All",16392.8666666667
"271",2007,9,12,"All",21462.7333333333
"272",2007,9,13,"All",19106.3666666667
"273",2007,9,14,"All",18924.5
"274",2007,9,15,"All",18255.2
"275",2007,9,16,"All",27537.0666666667
"276",2007,9,17,"All",24353.1
"277",2007,9,18,"All",19458.6666666667
"278",2007,9,19,"All",21644.7333333333
"279",2007,9,20,"All",20925.5333333333
"280",2007,9,21,"All",20646.3333333333
"281",2007,9,22,"All",19602.8666666667
"282",2007,9,23,"All",23632.8333333333
"283",2007,9,24,"All",22575.5
"284",2007,9,25,"All",29405.7
"285",2007,9,26,"All",30492.2
"286",2007,9,27,"All",23210
"287",2007,9,28,"All",28008.3
"288",2007,9,29,"All",38275.3666666667
"289",2007,9,30,"All",25271.5
"290",2007,10,1,"All",28682.0333333333
"291",2007,10,2,"All",36647.7333333333
"292",2007,10,3,"All",21340.9
"293",2007,10,4,"All",25307.6333333333
"294",2007,10,5,"All",23234.8666666667
"295",2007,10,6,"All",29270.6666666667
"296",2007,10,7,"All",35101.9
"297",2007,10,8,"All",18254.0333333333
"298",2007,10,9,"All",28130.9666666667
"299",2007,10,10,"All",19449.5333333333
"300",2007,10,11,"All",28874.1
"301",2007,10,12,"All",31908.4
"302",2007,10,13,"All",32112.1333333333
"303",2007,10,14,"All",34354.2
"304",2007,10,15,"All",21105.5
"305",2007,10,16,"All",32740.7
"306",2007,10,17,"All",26282.1666666667
"307",2007,10,18,"All",25308.8333333333
"308",2007,10,19,"All",34760.8
"309",2007,10,20,"All",27670.7666666667
"310",2007,10,21,"All",32365.6666666667
"311",2007,10,22,"All",27548.2666666667
"312",2007,10,23,"All",32640.0666666667
"313",2007,10,24,"All",31093.9333333333
"314",2007,10,25,"All",30898.6333333333
"315",2007,10,26,"All",23959.4666666667
"316",2007,10,27,"All",29761.4666666667
"317",2007,10,28,"All",8535.96666666667
"318",2007,10,29,"All",9090.46666666667
"319",2007,10,30,"All",13516.8
"320",2007,10,31,"All",21386.8333333333
"321",2007,11,1,"All",8270.26666666667
"322",2007,11,2,"All",24060.0333333333
"323",2007,11,3,"All",8209.16666666667
"324",2007,11,4,"All",24761.4333333333
"325",2007,11,5,"All",25009.8666666667
"326",2007,11,6,"All",34706.3
"327",2007,11,7,"All",30745.9666666667
"328",2007,11,8,"All",25017.6666666667
"329",2007,11,9,"All",36187.1
"330",2007,11,10,"All",43526.6666666667
"331",2007,11,11,"All",31452.0666666667
"332",2007,11,12,"All",35935.7666666667
"333",2007,11,13,"All",36906.6333333333
"334",2007,11,14,"All",34133.2333333333
"335",2007,11,15,"All",24866.4666666667
"336",2007,11,16,"All",38495.9
"337",2007,11,17,"All",43501.5666666667
"338",2007,11,18,"All",36397.6333333333
"339",2007,11,19,"All",28727.5666666667
"340",2007,11,20,"All",34930.9333333333
"341",2007,11,21,"All",29253.5333333333
"342",2007,11,22,"All",32206.3
"343",2007,11,23,"All",42043.6333333333
"344",2007,11,24,"All",31650.9
"345",2007,11,25,"All",23259.9666666667
"346",2007,11,26,"All",26161.9333333333
"347",2007,11,27,"All",46683.5333333333
"348",2007,11,28,"All",27415.6666666667
"349",2007,11,29,"All",28657.5333333333
"350",2007,11,30,"All",38862.1333333333
"351",2007,12,1,"All",52249.0333333333
"352",2007,12,2,"All",49103.1333333333
"353",2007,12,3,"All",29367.6666666667
"354",2007,12,4,"All",34460.6
"355",2007,12,5,"All",35885.3333333333
"356",2007,12,6,"All",41465.5666666667
"357",2007,12,7,"All",29483.6
"358",2007,12,8,"All",36890.0666666667
"359",2007,12,9,"All",37909.7333333333
"360",2007,12,10,"All",29312.5666666667
"361",2007,12,11,"All",38418.4
"362",2007,12,12,"All",26467.7
"363",2007,12,13,"All",30795.7666666667
"364",2007,12,14,"All",32913.4666666667
"365",2007,12,15,"All",45614.6
"366",2007,12,16,"All",46036.9666666667
"367",2007,12,17,"All",29973.7
"368",2007,12,18,"All",43719.9
"369",2007,12,19,"All",36600.8666666667
"370",2007,12,20,"All",32495.9666666667
"371",2007,12,21,"All",33042.9333333333
"372",2007,12,22,"All",43521.0666666667
"373",2007,12,23,"All",40150.8
"374",2007,12,24,"All",37630.8
"375",2007,12,25,"All",44916.1333333333
"376",2007,12,26,"All",43004.6666666667
"377",2007,12,27,"All",42203.3
"378",2007,12,28,"All",51884.2
"379",2007,12,29,"All",54982.6
"380",2007,12,30,"All",42648.6
"381",2007,12,31,"All",36942.3666666667
"382",2008,1,1,"All",45995.6333333333
"383",2008,1,2,"All",27401.7666666667
"384",2008,1,3,"All",25168.4666666667
"385",2008,1,4,"All",38197.5333333333
"386",2008,1,5,"All",36387.4666666667
"387",2008,1,6,"All",30419.7333333333
"388",2008,1,7,"All",28263.5666666667
"389",2008,1,8,"All",34059.1666666667
"390",2008,1,9,"All",29807.3333333333
"391",2008,1,10,"All",31567.9333333333
"392",2008,1,11,"All",28430.3
"393",2008,1,12,"All",47856.8
"394",2008,1,13,"All",48101.8333333333
"395",2008,1,14,"All",33748.8666666667
"396",2008,1,15,"All",44781.8666666667
"397",2008,1,16,"All",35597.5333333333
"398",2008,1,17,"All",26204.7
"399",2008,1,18,"All",36449.8
"400",2008,1,19,"All",33005.1
"401",2008,1,20,"All",29006.1333333333
"402",2008,1,21,"All",30983.3
"403",2008,1,22,"All",38750.3
"404",2008,1,23,"All",31371.8
"405",2008,1,24,"All",27417.0333333333
"406",2008,1,25,"All",37330.9333333333
"407",2008,1,26,"All",47249.8
"408",2008,1,27,"All",39696.1
"409",2008,1,28,"All",38469.9333333333
"410",2008,1,29,"All",44600.4
"411",2008,1,30,"All",27344.1
"412",2008,1,31,"All",32565.3666666667
"413",2008,2,1,"All",25577.5333333333
"414",2008,2,2,"All",49007.3
"415",2008,2,3,"All",34742.8
"416",2008,2,4,"All",27135.6333333333
"417",2008,2,5,"All",41207.6
"418",2008,2,6,"All",27825.6666666667
"419",2008,2,7,"All",25305.1666666667
"420",2008,2,8,"All",32509.4
"421",2008,2,9,"All",35037.9333333333
"422",2008,2,10,"All",36411.9
"423",2008,2,11,"All",28200.2666666667
"424",2008,2,12,"All",33129.9666666667
"425",2008,2,13,"All",31674.9666666667
"426",2008,2,14,"All",26743.7
"427",2008,2,15,"All",33420.1333333333
"428",2008,2,16,"All",39115.8
"429",2008,2,17,"All",32222.8
"430",2008,2,18,"All",25240.0666666667
"431",2008,2,19,"All",35448.6
"432",2008,2,20,"All",37563.1666666667
"433",2008,2,21,"All",27230.8333333333
"434",2008,2,22,"All",28876.0666666667
"435",2008,2,23,"All",30607.9
"436",2008,2,24,"All",21050.1333333333
"437",2008,2,25,"All",8408.13333333333
"438",2008,2,26,"All",8452
"439",2008,2,27,"All",9445.33333333333
"440",2008,2,28,"All",8486.4
"441",2008,2,29,"All",22222.4666666667
"442",2008,3,1,"All",19031.2666666667
"443",2008,3,2,"All",19370.4333333333
"444",2008,3,3,"All",17342.5
"445",2008,3,4,"All",27816.5
"446",2008,3,5,"All",33953.4666666667
"447",2008,3,6,"All",41720.1333333333
"448",2008,3,7,"All",31049.2666666667
"449",2008,3,8,"All",37477.6666666667
"450",2008,3,9,"All",26007.6333333333
"451",2008,3,10,"All",26978.1
"452",2008,3,11,"All",36667.3666666667
"453",2008,3,12,"All",29570.5333333333
"454",2008,3,13,"All",27925.2333333333
"455",2008,3,14,"All",36837
"456",2008,3,15,"All",26271.6666666667
"457",2008,3,16,"All",30032.6666666667
"458",2008,3,17,"All",28448.6333333333
"459",2008,3,18,"All",31959.4333333333
"460",2008,3,19,"All",21807.4666666667
"461",2008,3,20,"All",20887.9
"462",2008,3,21,"All",34440.7
"463",2008,3,22,"All",34225.2666666667
"464",2008,3,23,"All",38766.5
"465",2008,3,24,"All",32937.8666666667
"466",2008,3,25,"All",33597.6
"467",2008,3,26,"All",27224.5333333333
"468",2008,3,27,"All",22847.0333333333
"469",2008,3,28,"All",31423.7333333333
"470",2008,3,29,"All",41185.8333333333
"471",2008,3,30,"All",35773.2
"472",2008,3,31,"All",22959.5
"473",2008,4,1,"All",35484.2
"474",2008,4,2,"All",28194.5333333333
"475",2008,4,3,"All",18812.6
"476",2008,4,4,"All",27198.6333333333
"477",2008,4,5,"All",32846.0333333333
"478",2008,4,6,"All",28271.9666666667
"479",2008,4,7,"All",25647.3
"480",2008,4,8,"All",44291.9333333333
"481",2008,4,9,"All",20314.2
"482",2008,4,10,"All",24629.1
"483",2008,4,11,"All",31294.4
"484",2008,4,12,"All",46666.9
"485",2008,4,13,"All",37216.4333333333
"486",2008,4,14,"All",26493.0333333333
"487",2008,4,15,"All",27840.1
"488",2008,4,16,"All",24817.7333333333
"489",2008,4,17,"All",23264.3666666667
"490",2008,4,18,"All",31039.8333333333
"491",2008,4,19,"All",37561.8333333333
"492",2008,4,20,"All",29856.9666666667
"493",2008,4,21,"All",19402.6
"494",2008,4,22,"All",27127.9333333333
"495",2008,4,23,"All",22622.1333333333
"496",2008,4,24,"All",17396.2
"497",2008,4,25,"All",21128.9
"498",2008,4,26,"All",15052.7666666667
"499",2008,4,27,"All",16804
"500",2008,4,28,"All",10984.2
"501",2008,4,29,"All",32876.9333333333
"502",2008,4,30,"All",18362.1
"503",2008,5,1,"All",9600.23333333333
"504",2008,5,2,"All",24962.8
"505",2008,5,3,"All",21493.3333333333
"506",2008,5,4,"All",24516.1666666667
"507",2008,5,5,"All",22782.2
"508",2008,5,6,"All",29833
"509",2008,5,7,"All",19604.4
"510",2008,5,8,"All",35278.3
"511",2008,5,9,"All",29121.2
"512",2008,5,10,"All",31818.8
"513",2008,5,11,"All",26848.6666666667
"514",2008,5,12,"All",25403.4
"515",2008,5,13,"All",24614.9
"516",2008,5,14,"All",26404.3666666667
"517",2008,5,15,"All",19379.4666666667
"518",2008,5,16,"All",27518.7666666667
"519",2008,5,17,"All",27624.2333333333
"520",2008,5,18,"All",30065.9666666667
"521",2008,5,19,"All",17171.0333333333
"522",2008,5,20,"All",26355.5666666667
"523",2008,5,21,"All",22068.5333333333
"524",2008,5,22,"All",16281.1333333333
"525",2008,5,23,"All",24748.6
"526",2008,5,24,"All",26336.2666666667
"527",2008,5,25,"All",34141.7333333333
"528",2008,5,26,"All",21495.1666666667
"529",2008,5,27,"All",28478.3333333333
"530",2008,5,28,"All",18572.8666666667
"531",2008,5,29,"All",18917.9333333333
"532",2008,5,30,"All",23287.4
"533",2008,5,31,"All",27357.8333333333
"534",2008,6,1,"All",30814.6
"535",2008,6,2,"All",17900.2
"536",2008,6,3,"All",26630.2666666667
"537",2008,6,4,"All",26481.8666666667
"538",2008,6,5,"All",18667.9666666667
"539",2008,6,6,"All",20295.2333333333
"540",2008,6,7,"All",31374.7333333333
"541",2008,6,8,"All",25705.3666666667
"542",2008,6,9,"All",22094.9666666667
"543",2008,6,10,"All",17784.8333333333
"544",2008,6,11,"All",18720.1
"545",2008,6,12,"All",20988.8666666667
"546",2008,6,13,"All",31251.6666666667
"547",2008,6,14,"All",23082
"548",2008,6,15,"All",38151.7
"549",2008,6,16,"All",21717.4
"550",2008,6,17,"All",19084.7333333333
"551",2008,6,18,"All",31560.1333333333
"552",2008,6,19,"All",26468.0333333333
"553",2008,6,20,"All",27935.0666666667
"554",2008,6,21,"All",28904.2333333333
"555",2008,6,22,"All",26106.9333333333
"556",2008,6,23,"All",20863.2666666667
"557",2008,6,24,"All",29240.8666666667
"558",2008,6,25,"All",21029.5
"559",2008,6,26,"All",17600.3333333333
"560",2008,6,27,"All",29252.5333333333
"561",2008,6,28,"All",20146.6666666667
"562",2008,6,29,"All",12489.2
"563",2008,6,30,"All",13403.2666666667
"564",2008,7,1,"All",20254
"565",2008,7,2,"All",19120.0333333333
"566",2008,7,3,"All",18306
"567",2008,7,4,"All",15700.3333333333
"568",2008,7,5,"All",24484.8
"569",2008,7,6,"All",30084.4
"570",2008,7,7,"All",16389.8333333333
"571",2008,7,8,"All",18770.2333333333
"572",2008,7,9,"All",15321.9666666667
"573",2008,7,10,"All",20854.6
"574",2008,7,11,"All",20903.6
"575",2008,7,12,"All",22147.5333333333
"576",2008,7,13,"All",20910.5666666667
"577",2008,7,14,"All",18965.4333333333
"578",2008,7,15,"All",19264.3333333333
"579",2008,7,16,"All",17951.0333333333
"580",2008,7,17,"All",21985.3666666667
"581",2008,7,18,"All",21026.4
"582",2008,7,19,"All",22400.2333333333
"583",2008,7,20,"All",15692.2333333333
"584",2008,7,21,"All",19274.6333333333
"585",2008,7,22,"All",12337.3666666667
"586",2008,7,23,"All",15710.5
"587",2008,7,24,"All",18224.1666666667
"588",2008,7,25,"All",14425.5666666667
"589",2008,7,26,"All",13594.7333333333
"590",2008,7,27,"All",19123.2666666667
"591",2008,7,28,"All",13763.4
"592",2008,7,29,"All",19442.6333333333
"593",2008,7,30,"All",21665.1333333333
"594",2008,7,31,"All",23210.6333333333
"595",2008,8,1,"All",12326.2666666667
"596",2008,8,2,"All",8429.6
"597",2008,8,3,"All",8413.03333333333
"598",2008,8,4,"All",18775.4666666667
"599",2008,8,5,"All",13785.3
"600",2008,8,6,"All",5435.2
"601",2008,8,7,"All",5581.4
"602",2008,8,8,"All",5036.66666666667
"603",2008,8,9,"All",5982.06666666667
"604",2008,8,10,"All",5867.2
"605",2008,8,11,"All",6198.6
"606",2008,8,12,"All",4816.4
"607",2008,8,13,"All",4709.73333333333
"608",2008,8,14,"All",4504.3
"609",2008,8,15,"All",4560.9
"610",2008,8,16,"All",4580.23333333333
"611",2008,8,17,"All",4579.93333333333
"612",2008,8,18,"All",4562.63333333333
"613",2008,8,19,"All",4578.2
"614",2008,8,20,"All",4474.53333333333
"615",2008,8,21,"All",4354.96666666667
"616",2008,8,22,"All",4452.06666666667
"617",2008,8,23,"All",4244.03333333333
"618",2008,8,24,"All",4245.26666666667
"619",2008,8,25,"All",4171.63333333333
"620",2008,8,26,"All",4292.73333333333
"621",2008,8,27,"All",4301.9
"622",2008,8,28,"All",4470.76666666667
"623",2008,8,29,"All",4459.8
"624",2008,8,30,"All",4507.06666666667
"625",2008,8,31,"All",25042.2
"626",2008,9,1,"All",20791.8333333333
"627",2008,9,2,"All",23069.2333333333
"628",2008,9,3,"All",23141.4333333333
"629",2008,9,4,"All",20420.3333333333
"630",2008,9,5,"All",14566
"631",2008,9,6,"All",31142.9
"632",2008,9,7,"All",22877.6
"633",2008,9,8,"All",21822.0666666667
"634",2008,9,9,"All",19327.5666666667
"635",2008,9,10,"All",21679.4
"636",2008,9,11,"All",17145.2333333333
"637",2008,9,12,"All",23212.7
"638",2008,9,13,"All",27190.6
"639",2008,9,14,"All",26272.1
"640",2008,9,15,"All",28295.1333333333
"641",2008,9,16,"All",20364.3666666667
"642",2008,9,17,"All",25320.1666666667
"643",2008,9,18,"All",25088.1666666667
"644",2008,9,19,"All",25314.1
"645",2008,9,20,"All",21743.3333333333
"646",2008,9,21,"All",25551.1666666667
"647",2008,9,22,"All",22642.7333333333
"648",2008,9,23,"All",20546.4666666667
"649",2008,9,24,"All",28639.1666666667
"650",2008,9,25,"All",18853.6666666667
"651",2008,9,26,"All",23857.5
"652",2008,9,27,"All",35457.4333333333
"653",2008,9,28,"All",28851.7333333333
"654",2008,9,29,"All",25028.9666666667
"655",2008,9,30,"All",22916.7666666667
"656",2008,10,1,"All",31206.0666666667
"657",2008,10,2,"All",22422.3666666667
"658",2008,10,3,"All",26876.3333333333
"659",2008,10,4,"All",35008.2666666667
"660",2008,10,5,"All",25832.5
"661",2008,10,6,"All",23729.7
"662",2008,10,7,"All",28776.1333333333
"663",2008,10,8,"All",31009.6
"664",2008,10,9,"All",33061.3666666667
"665",2008,10,10,"All",25305.6333333333
"666",2008,10,11,"All",27823.1
"667",2008,10,12,"All",31799
"668",2008,10,13,"All",24366.2666666667
"669",2008,10,14,"All",26817.6
"670",2008,10,15,"All",35948.2666666667
"671",2008,10,16,"All",26394.6666666667
"672",2008,10,17,"All",31114.7666666667
"673",2008,10,18,"All",37319.8333333333
"674",2008,10,19,"All",32865.5666666667
"675",2008,10,20,"All",27792.5666666667
"676",2008,10,21,"All",34395.2666666667
"677",2008,10,22,"All",27433.5
"678",2008,10,23,"All",30508.2333333333
"679",2008,10,24,"All",35553.7666666667
"680",2008,10,25,"All",26607.1333333333
"681",2008,10,26,"All",8724.86666666667
"682",2008,10,27,"All",8731.53333333333
"683",2008,10,28,"All",22121.5
"684",2008,10,29,"All",26876.2666666667
"685",2008,10,30,"All",18310
"686",2008,10,31,"All",21430.5333333333
"687",2008,11,1,"All",13841.6333333333
"688",2008,11,2,"All",15176.9
"689",2008,11,3,"All",14126.6666666667
"690",2008,11,4,"All",26038.6
"691",2008,11,5,"All",52248.8333333333
"692",2008,11,6,"All",26473.9666666667
"693",2008,11,7,"All",26986.4
"694",2008,11,8,"All",28885.6333333333
"695",2008,11,9,"All",42975.6333333333
"696",2008,11,10,"All",35215.0666666667
"697",2008,11,11,"All",40932.5
"698",2008,11,12,"All",36504.7666666667
"699",2008,11,13,"All",20641
"700",2008,11,14,"All",27028.9666666667
"701",2008,11,15,"All",50527.1333333333
"702",2008,11,16,"All",39423.8666666667
"703",2008,11,17,"All",25393.9333333333
"704",2008,11,18,"All",29150.8333333333
"705",2008,11,19,"All",30670.6333333333
"706",2008,11,20,"All",28205.6
"707",2008,11,21,"All",27898.8333333333
"708",2008,11,22,"All",28522.8
"709",2008,11,23,"All",56779.6666666667
"710",2008,11,24,"All",53549.9666666667
"711",2008,11,25,"All",45047.5
"712",2008,11,26,"All",25265.9
"713",2008,11,27,"All",39370.3
"714",2008,11,28,"All",31432.7333333333
"715",2008,11,29,"All",40577.8
"716",2008,11,30,"All",40023.1333333333
"717",2008,12,1,"All",26942.3
